Impressions,Approved_Conversion_Rate,Cost_per_Approved_Conversion,Spent,Spent_x_Clicks,Conversion_Rate,Cost_per_Conversion,Clicks,interest,ROAS
7350,100.0,1.42999994657,1.429999948,1.429999948,200.0,0.7149999736425,1,15,0.699300724240795
17861,0.0,1820000022.9999998,1.820000023,3.640000046,100.0,0.910000011045,2,16,0.0
693,1.8018018018018018,0.0,0.0,0.0,inf,0.0,0,20,0.0
4259,0.0,1250000000.0,1.25,1.25,100.0,1.24999999875,1,28,0.0
4133,100.0,1.28999996071,1.289999962,1.289999962,100.0,1.28999996071,1,28,0.7751938206838537
1915,inf,0.0,0.0,0.0,inf,0.0,0,29,999999999.9999999
15615,0.0,4769999980.999999,4.769999981,14.309999943,33.33333333333333,4.769999976229999,3,15,0.0
10951,100.0,1.26999997973,1.269999981,1.269999981,100.0,1.26999997973,1,16,0.787401585963172
2355,0.0,1500000000.0,1.5,1.5,100.0,1.4999999984999999,1,27,0.0
9502,0.0,3159999967.0,3.159999967,9.479999901,33.33333333333333,3.15999996384,3,28,0.0
1224,1.8018018018018018,0.0,0.0,0.0,inf,0.0,0,31,0.0
735,1.8018018018018018,0.0,0.0,0.0,inf,0.0,0,7,0.0
5117,1.8018018018018018,0.0,0.0,0.0,inf,0.0,0,16,0.0
5120,1.8018018018018018,0.0,0.0,0.0,inf,0.0,0,16,0.0
14669,14.285714285714285,10.28000019972,10.28000021,71.96000147000001,14.285714285714285,10.28000019972,7,20,0.097276262594816
1241,inf,0.0,0.0,0.0,inf,0.0,0,28,999999999.9999999
2305,0.0,569999993.0,0.569999993,0.569999993,100.0,0.56999999243,1,30,0.0
1024,inf,0.0,0.0,0.0,inf,0.0,0,31,999999999.9999999
4627,0.0,1690000057.0,1.690000057,1.690000057,100.0,1.6900000553099999,1,15,0.0
21026,25.0,4.63000010937,4.630000114,18.520000456,50.0,2.3150000558425,4,16,0.21598271601770788
1422,inf,0.0,0.0,0.0,inf,0.0,0,15,999999999.9999999
7132,0.0,2609999895.0,2.609999895,5.21999979,50.0,2.60999989239,2,15,0.0
12190,0.0,3049999951.9999995,3.049999952,6.099999904,50.0,3.0499999489499996,2,16,0.0
12193,50.0,3.0599999399399995,3.059999943,6.119999886,50.0,3.0599999399399995,2,16,0.3267973916015209
3332,inf,0.0,0.0,0.0,inf,0.0,0,16,999999999.9999999
559,1.8018018018018018,0.0,0.0,0.0,inf,0.0,0,7,0.0
7440,50.0,2.98000001602,2.980000019,5.960000038,50.0,2.98000001602,2,29,0.3355704675465069
19113,0.0,5520000099.999999,5.5200001,22.0800004,25.0,5.520000094479999,4,16,0.0
10976,50.0,1.6900000553099999,1.690000057,3.380000114,50.0,1.6900000553099999,2,16,0.5917159560239494
2861,1.8018018018018018,0.0,0.0,0.0,inf,0.0,0,16,0.0
1398,inf,0.0,0.0,0.0,inf,0.0,0,15,999999999.9999999
23817,14.285714285714285,8.470000139529999,8.470000148,59.29000103600001,14.285714285714285,8.470000139529999,7,16,0.11806375235047235
47224,0.0,15820000170.0,15.82000017,189.84000204,8.333333333333332,15.820000154179999,12,16,0.0
2283,0.0,1470000028.9999998,1.470000029,1.470000029,100.0,1.4700000275299998,1,24,0.0
2182,100.0,1.52999996947,1.529999971,1.529999971,100.0,1.52999996947,1,21,0.6535947832030418
2654,inf,0.0,0.0,0.0,inf,0.0,0,16,999999999.9999999
57665,7.142857142857142,18.06999967193,18.06999969,252.97999566,7.142857142857142,18.06999967193,14,16,0.05534034405645635
3091,100.0,1.6100000123899998,1.610000014,1.610000014,100.0,1.6100000123899998,1,32,0.6211180066355465
5014,0.0,1190000057.0,1.190000057,1.190000057,100.0,1.19000005581,1,15,0.0
38726,0.0,9220000267.0,9.220000267,64.540001869,14.285714285714285,9.220000257779999,7,16,0.0
1473,1.8018018018018018,0.0,0.0,0.0,inf,0.0,0,18,0.0
1186,1.8018018018018018,0.0,0.0,0.0,inf,0.0,0,27,0.0
5369,0.0,1509999990.0,1.50999999,1.50999999,100.0,1.50999998849,1,15,0.0
22221,14.285714285714285,9.430000057569998,9.430000067,66.010000469,14.285714285714285,9.430000057569998,7,29,0.10604453794156643
